node,property,value
aida-entity:d48106d9-91c7-4d10-a4dc-7d82d735a925,aida-property:Physical.LocatedNear_Place,aida-entity:f4cfc546-ff27-4df0-b19b-71dbdbc93a29
aida-item:PartWhole.Subsidiary.NationalityCitizen,rdfs:subClassOf,aida-item:PartWhole.Subsidiary
aida-item:PER.Combatant,rdfs:subClassOf,aida-item:Entity
aida-item:Government.Formation.StartGPE,rdf:type,owl:Class
aida-item:ORG.Government.Agency,rdf:type,owl:Class
aida-item:FAC.Installation.TrainStation,rdf:type,owl:Class
aida-item:WEA.Bullets.Ammunition,rdfs:subClassOf,aida-item:WEA.Bullets
aida-property:GeneralAffiliation.Sponsorship_Sponsor,rdf:type,owl:ObjectProperty
aida-property:Evaluate.Legitimacy.Illegitimate_Event,rdf:type,owl:ObjectProperty
aida-item:RES.TurnoutVoters.TurnoutVoters,rdfs:subClassOf,aida-item:RES
aida-item:Life.Injure.IllnessDegradationPhysical,rdfs:subClassOf,aida-item:Life.Injure
aida-item:ORG.CriminalOrganization.CriminalOrganization,rdf:type,owl:Class
aida-entity:de116796-d44b-4a1a-8491-4dcced8e8a9f,aida-property:Physical.LocatedNear_Place,aida-entity:01f0cc75-2ed2-4968-add0-715d91f1b7ec
aida-item:BAL.PaperBallot.PaperBallot,rdf:type,owl:Class
aida-item:Inspection.SensoryObserve.MonitorElection,rdfs:subClassOf,aida-item:Inspection.SensoryObserve
aida-item:GPE.UrbanArea.City,rdfs:subClassOf,aida-item:Entity
aida-entity:90846e8e-d544-4c5c-8405-eb0e62e73627,rdf:type,aida-item:PER
aida-item:PER.ProfessionalPosition.Spokesperson,rdf:type,owl:Class
aida-property:PartWhole.Subsidiary.NationalityCitizen_Subsidiary,rdf:type,owl:ObjectProperty
aida-item:GeneralAffiliation.Sponsorship.AdvisePlanOrganize,rdf:type,owl:Class
aida-item:TTL,rdfs:subClassOf,aida-item:Entity
aida-item:Transaction.Transaction.TransferControl,rdfs:subClassOf,aida-item:Transaction.Transaction
aida-entity:cab521fd-369e-40e9-ba8d-a97cc7c723b9,rdf:type,aida-item:PER.Combatant
aida-item:GPE.ProvinceState.ProvinceState,rdf:type,owl:Class
aida-property:GeneralAffiliation.OrganizationPoliticalReligiousAffiliation.NationalityCitizen_Organization,rdf:type,owl:ObjectProperty
aida-item:GeneralAffiliation.Sponsorship,rdf:type,owl:Class
aida-item:Contact.CommitmentPromiseExpressIntent.Meet,rdfs:subClassOf,aida-item:Contact.CommitmentPromiseExpressIntent
aida-item:WEA.Gun.Firearm,rdfs:subClassOf,aida-item:WEA.Gun
aida-item:VEH.Rocket.Rocket,rdf:type,owl:Class
aida-entity:01f0cc75-2ed2-4968-add0-715d91f1b7ec,rdf:type,aida-item:PER
aida-entity:6bcbc73a-2907-4c6c-8fc2-ad149846d6ac,rdf:type,aida-item:GPE.UrbanArea.City
aida-item:ORG.Government.LegislativeBody,rdfs:subClassOf,aida-item:ORG.Government
aida-item:Contact.FuneralVigil,rdf:type,owl:Class
aida-item:FAC.Installation.TrainStation,rdfs:subClassOf,aida-item:FAC.Installation
aida-item:Movement.TransportPerson,rdfs:subClassOf,aida-item:Event
aida-property:GeneralAffiliation.MemberOriginReligionEthnicity.NationalityCitizen_Citizen,rdf:type,owl:ObjectProperty
aida-item:SID.Cultural.Cultural,rdfs:subClassOf,aida-item:SID
aida-item:Measurement.Size,rdfs:subClassOf,aida-item:Relation
aida-item:GeneralAffiliation.ArtifactPoliticalOrganizationReligiousAffiliation.NationalityCitizen,rdfs:subClassOf,aida-item:GeneralAffiliation.ArtifactPoliticalOrganizationReligiousAffiliation
aida-item:Inspection.SensoryObserve.InspectPeopleOrganization,rdf:type,owl:Class
aida-item:CRM.BehaviorCrime,rdfs:subClassOf,aida-item:CRM
aida-item:FAC.Installation.Airport,rdfs:subClassOf,aida-item:FAC.Installation
aida-item:ORG.International.MonitoringGroup,rdfs:subClassOf,aida-item:ORG.International
aida-property:Physical.LocatedNear.Surround_Place,rdf:type,owl:ObjectProperty
aida-item:PER.Politician.HeadOfGovernment,rdfs:subClassOf,aida-item:Entity
aida-item:Personnel.Elect,rdfs:subClassOf,aida-item:Event
aida-property:OrganizationAffiliation.Leadership.MilitaryPolice_MilitaryPoliceORG,rdf:type,owl:ObjectProperty
aida-item:GPE,rdfs:subClassOf,aida-item:Entity
aida-item:Movement.TransportArtifact.SendSupplyExport,rdfs:subClassOf,aida-item:Movement.TransportArtifact
aida-entity:de116796-d44b-4a1a-8491-4dcced8e8a9f,aida-property:Physical.LocatedNear_Place,aida-entity:90846e8e-d544-4c5c-8405-eb0e62e73627
aida-property:GeneralAffiliation.Sponsorship.AdvisePlanOrganize_ActorOrEvent,rdf:type,owl:ObjectProperty
aida-entity:9789ff8a-7d0a-45cc-9b2a-9a7465182d09,aida-property:Information.Make.Make_Brand,aida-entity:f6959485-0657-46a7-8712-5e32a27d0619
aida-entity:f6959485-0657-46a7-8712-5e32a27d0619,rdf:type,aida-item:FAC.GeographicalArea
aida-item:Transaction.Transaction,rdf:type,owl:Class
aida-item:LAW,rdfs:subClassOf,aida-item:Entity
aida-item:Contact.CommandOrder,rdf:type,owl:Class
aida-item:Contact.ThreatenCoerce.Correspondence,rdfs:subClassOf,aida-item:Contact.ThreatenCoerce
aida-item:RES,rdf:type,owl:Class
aida-item:PER.Politician,rdfs:subClassOf,aida-item:PER
aida-item:FAC.Building.OfficeBuilding,rdfs:subClassOf,aida-item:FAC.Building
aida-item:Contact.MediaStatement,rdf:type,owl:Class
aida-item:GeneralAffiliation.MemberOriginReligionEthnicity.Ethnicity,rdfs:subClassOf,aida-item:GeneralAffiliation.MemberOriginReligionEthnicity
aida-entity:cab521fd-369e-40e9-ba8d-a97cc7c723b9,rdf:type,aida-item:TTL
aida-item:LAW.Referendum.Referendum,rdfs:subClassOf,aida-item:LAW
aida-entity:f4cfc546-ff27-4df0-b19b-71dbdbc93a29,aida-property:OrganizationAffiliation.EmploymentMembership.Employment_Employee,aida-entity:fae5a094-6aea-44e3-bfba-2f50fe87cb5b
aida-property:Information.Make.Make_EntityOrFiller,rdf:type,owl:ObjectProperty
aida-item:Contact.CommandOrder,rdfs:subClassOf,aida-item:Event
aida-item:ArtifactExistence.DamageDestroy,rdfs:subClassOf,aida-item:Event
aida-property:OrganizationAffiliation.Founder.Founder_Founder,rdf:type,owl:ObjectProperty
aida-item:WEA.Gas.PoisonGas,rdfs:subClassOf,aida-item:WEA.Gas
aida-item:MON.Cash.Cash,rdfs:subClassOf,aida-item:MON
aida-item:PER.Politician.HeadOfGovernment,rdfs:subClassOf,aida-item:PER.Politician
aida-item:Contact.Collaborate.Meet,rdf:type,owl:Class
aida-item:FAC.Way,rdf:type,owl:Class
aida-item:GeneralAffiliation.MemberOriginReligionEthnicity,rdfs:subClassOf,aida-item:Relation
aida-item:COM.Document.PersonalIdentification,rdfs:subClassOf,aida-item:COM.Document
aida-item:Transaction.Transaction.EmbargoSanction,rdf:type,owl:Class
aida-item:ORG.Government.Railway,rdfs:subClassOf,aida-item:ORG.Government
aida-item:WEA,rdfs:subClassOf,aida-item:Entity
aida-item:Movement.TransportPerson.GrantEntryAsylum,rdf:type,owl:Class
aida-entity:acb74d8b-5845-4f07-9207-190313865729,rdf:type,aida-item:PER
aida-item:Movement.TransportPerson,rdf:type,owl:Class
aida-entity:e8d98762-d520-49ed-8de4-5b208d2e3fc9,rdf:type,aida-item:GPE.UrbanArea.City
aida-item:ORG.Government.FireDepartment,rdfs:subClassOf,aida-item:ORG.Government
aida-property:Evaluate.Deliberateness.Deliberate_Event,rdf:type,owl:ObjectProperty
aida-item:ORG.International.Commission,rdfs:subClassOf,aida-item:ORG.International
aida-item:Government.Vote,rdfs:subClassOf,aida-item:Event
aida-entity:acb74d8b-5845-4f07-9207-190313865729,aida-property:OrganizationAffiliation.EmploymentMembership.Employment_Employee,aida-entity:fae5a094-6aea-44e3-bfba-2f50fe87cb5b
aida-item:LAW.Referendum.Referendum,rdf:type,owl:Class
aida-item:LOC.Land,rdfs:subClassOf,aida-item:LOC
aida-item:PER.Police,rdfs:subClassOf,aida-item:PER
aida-item:Transaction.TransferMoney.PayForService,rdf:type,owl:Class
aida-property:Measurement.Size.Count_Measurement,rdf:type,owl:ObjectProperty
aida-property:start,aida-property-type:dataType,aida-property-type:DateTime
aida-item:Personnel.Elect,rdf:type,owl:Class
aida-property:GeneralAffiliation.Sponsorship_ActorOrEvent,rdf:type,owl:ObjectProperty
aida-item:PER.MilitaryPersonnel.MilitaryOfficer,rdfs:subClassOf,aida-item:PER.MilitaryPersonnel
aida-item:Measurement.Size.Count,rdfs:subClassOf,aida-item:Measurement.Size
aida-item:ORG.International,rdfs:subClassOf,aida-item:ORG
aida-item:Conflict.Attack.Stabbing,rdfs:subClassOf,aida-item:Conflict.Attack
aida-item:Conflict.Attack.Invade,rdfs:subClassOf,aida-item:Conflict.Attack
aida-item:FAC.Building,rdfs:subClassOf,aida-item:FAC
aida-item:WEA.MissileSystem.SurfaceToAirMissile,rdf:type,owl:Class
aida-item:ORG.CommercialOrganization.NewsAgency,rdf:type,owl:Class
aida-item:PER.Fan,rdf:type,owl:Class
aida-item:WEA.Club.Bat,rdf:type,owl:Class
aida-item:WEA.Gas,rdf:type,owl:Class
aida-item:ORG.MilitaryOrganization.NonGovernmentMilitia,rdfs:subClassOf,aida-item:ORG.MilitaryOrganization
aida-item:Movement.TransportArtifact.PreventExit,rdf:type,owl:Class
aida-item:Movement.TransportPerson.SmuggleExtract,rdfs:subClassOf,aida-item:Movement.TransportPerson
aida-property:Physical.OrganizationHeadquarters.OrganizationHeadquarters_Place,rdf:type,owl:ObjectProperty
aida-entity:f4cfc546-ff27-4df0-b19b-71dbdbc93a29,aida-property:OrganizationAffiliation.Leadership_Leader,aida-entity:e8d98762-d520-49ed-8de4-5b208d2e3fc9
aida-item:VEH.WheeledVehicle.Truck,rdf:type,owl:Class
aida-item:Government.Agreements,rdf:type,owl:Class
aida-item:PER.Politician.Governor,rdf:type,owl:Class
aida-entity:110be185-7b8c-4a12-a0d7-fcfe7687a7f0,rdf:type,aida-item:PER
aida-item:VEH.Watercraft.Yacht,rdfs:subClassOf,aida-item:VEH.Watercraft
aida-item:Conflict.Yield.Retreat,rdfs:subClassOf,aida-item:Conflict.Yield
aida-entity:e3d187c7-5e2b-48f3-a05e-dc9724cb9596,rdf:type,aida-item:PER
aida-item:FAC.GeographicalArea,rdfs:subClassOf,aida-item:FAC
aida-entity:5aa209ed-0b29-42c9-99f6-bb7f451b418e,aida-property:Physical.LocatedNear_Place,aida-entity:e3d187c7-5e2b-48f3-a05e-dc9724cb9596
aida-entity:f6959485-0657-46a7-8712-5e32a27d0619,aida-property:Physical.LocatedNear_EntityOrFiller,aida-entity:e45a2f47-4a27-4bfe-8a09-221d2216cd7f
aida-item:PER.ProfessionalPosition.Journalist,rdf:type,owl:Class
aida-item:VAL.Number.Number,rdf:type,owl:Class
aida-property:GeneralAffiliation.Sponsorship.AdvisePlanOrganize_Sponsor,rdf:type,owl:ObjectProperty
aida-item:FAC.Structure.Bridge,rdfs:subClassOf,aida-item:FAC.Structure
aida-item:COM.Equipment.MilitaryEquipment,rdfs:subClassOf,aida-item:COM.Equipment
aida-property:GeneralAffiliation.ArtifactPoliticalOrganizationReligiousAffiliation.NationalityCitizen_Nationality,rdf:type,owl:ObjectProperty
aida-item:Justice.JudicialConsequences.Convict,rdf:type,owl:Class
aida-item:Life.Die,rdf:type,owl:Class
aida-item:Government.Formation.MergeGPE,rdfs:subClassOf,aida-item:Government.Formation
aida-property:PartWhole.Subsidiary_Parent,rdf:type,owl:ObjectProperty
aida-entity:e45a2f47-4a27-4bfe-8a09-221d2216cd7f,aida-property:Physical.LocatedNear_Place,aida-entity:f6959485-0657-46a7-8712-5e32a27d0619
aida-entity:01f0cc75-2ed2-4968-add0-715d91f1b7ec,aida-property:Physical.LocatedNear_EntityOrFiller,aida-entity:f6959485-0657-46a7-8712-5e32a27d0619
aida-item:Inspection.SensoryObserve.PhysicalInvestigateInspect,rdfs:subClassOf,aida-item:Inspection.SensoryObserve
aida-property:OrganizationAffiliation.EmploymentMembership.Membership_Member,rdf:type,owl:ObjectProperty
aida-entity:312b6440-a00e-4e4f-b0a0-99a7f0084fdf,rdf:type,aida-item:LOC.Position.Region
aida-item:Conflict.Attack.FirearmAttack,rdfs:subClassOf,aida-item:Conflict.Attack
aida-item:WEA.Bullets.RubberBullets,rdf:type,owl:Class
aida-item:CRM.PoliticalCrime.PoliceMisconduct,rdf:type,owl:Class
aida-item:Justice.InitiateJudicialProcess.ChargeIndict,rdf:type,owl:Class
aida-item:ArtifactExistence.DamageDestroy.Damage,rdfs:subClassOf,aida-item:ArtifactExistence.DamageDestroy
aida-item:Movement.TransportArtifact.PreventExit,rdfs:subClassOf,aida-item:Movement.TransportArtifact
aida-item:LOC.Position.AirSpace,rdfs:subClassOf,aida-item:LOC.Position
aida-property:linkTarget,rdf:type,owl:DatatypeProperty
aida-item:GeneralAffiliation.MemberOriginReligionEthnicity.NationalityCitizen,rdfs:subClassOf,aida-item:GeneralAffiliation.MemberOriginReligionEthnicity
aida-item:Conflict.Demonstrate,rdf:type,owl:Class
aida-event:c8d650fb-506c-4854-a28e-e058c3f2d168,aida-property:Contact.CommitmentPromiseExpressIntent.Meet_Communicator,aida-entity:e3d187c7-5e2b-48f3-a05e-dc9724cb9596
aida-item:Physical.LocatedNear.Surround,rdf:type,owl:Class
aida-item:PER.MilitaryPersonnel,rdf:type,owl:Class
aida-item:Justice.InitiateJudicialProcess.ChargeIndict,rdfs:subClassOf,aida-item:Justice.InitiateJudicialProcess
aida-item:FAC.Installation.Airport,rdf:type,owl:Class
aida-item:Conflict.Attack.SetFire,rdfs:subClassOf,aida-item:Conflict.Attack
aida-item:Transaction.Transaction.GiftGrantProvideAid,rdfs:subClassOf,aida-item:Transaction.Transaction
aida-item:LOC.Position.Region,rdfs:subClassOf,aida-item:Entity
aida-property:GeneralAffiliation.MemberOriginReligionEthnicity.Ethnicity_Ethnicity,rdf:type,owl:ObjectProperty
aida-item:Movement.TransportPerson.GrantEntryAsylum,rdfs:subClassOf,aida-item:Movement.TransportPerson
aida-item:Government.Formation,rdf:type,owl:Class
aida-item:Manufacture.Artifact.CreateManufacture,rdf:type,owl:Class
aida-item:Life.Injure.IllnessDegradationPhysical,rdf:type,owl:Class
aida-item:FAC.GeographicalArea.Checkpoint,rdfs:subClassOf,aida-item:FAC.GeographicalArea
aida-item:Entity,rdf:type,owl:Class
aida-entity:4fba8ada-3361-459c-a37f-a0ccc4624ac5,aida-property:OrganizationAffiliation.EmploymentMembership.Employment_PlaceOfEmployment,aida-entity:12c3230f-cc45-4c14-b34a-c8a889177502
aida-item:FAC.GeographicalArea.Border,rdfs:subClassOf,aida-item:FAC.GeographicalArea
aida-item:Contact.Negotiate,rdfs:subClassOf,aida-item:Event
aida-item:Manufacture.Artifact.CreateIntellectualProperty,rdf:type,owl:Class
aida-item:LOC.Position,rdfs:subClassOf,aida-item:LOC
aida-item:ORG.CommercialOrganization.BroadcastingCompany,rdf:type,owl:Class
aida-item:BAL,rdfs:subClassOf,aida-item:Entity
aida-item:COM.Flag.Flag,rdfs:subClassOf,aida-item:COM
aida-item:ORG.Government.LegislativeBody,rdf:type,owl:Class
aida-item:GPE.UrbanArea.Village,rdfs:subClassOf,aida-item:GPE.UrbanArea
aida-entity:e8d98762-d520-49ed-8de4-5b208d2e3fc9,aida-property:Physical.LocatedNear_Place,aida-entity:f6959485-0657-46a7-8712-5e32a27d0619
aida-item:VEH.Watercraft,rdf:type,owl:Class
aida-item:RES.NumberPercentageVotes.NumberPercentageVotes,rdf:type,owl:Class
aida-property:OrganizationAffiliation.EmploymentMembership.Membership_PlaceOfMembership,rdf:type,owl:ObjectProperty
aida-item:Transaction.TransferMoney.Purchase,rdfs:subClassOf,aida-item:Transaction.TransferMoney
aida-property:PartWhole.Subsidiary_Subsidiary,rdf:type,owl:ObjectProperty
aida-item:VEH.Watercraft.Yacht,rdf:type,owl:Class
aida-item:GPE.UrbanArea.Village,rdf:type,owl:Class
aida-item:PER.ProfessionalPosition.Paramedic,rdf:type,owl:Class
aida-property:GeneralAffiliation.ArtifactPoliticalOrganizationReligiousAffiliation_EntityOrFiller,rdf:type,owl:ObjectProperty
aida-item:WEA.Club,rdfs:subClassOf,aida-item:WEA
aida-item:Government.Agreements.AcceptAgreementContractCeasefire,rdfs:subClassOf,aida-item:Government.Agreements
aida-item:FAC.Installation.MilitaryInstallation,rdfs:subClassOf,aida-item:FAC.Installation
aida-property:PersonalSocial.Role.ProfessionalRole_JobRole,rdf:type,owl:ObjectProperty
aida-item:FAC.Building,rdf:type,owl:Class
aida-item:VEH.Aircraft.CargoAircraft,rdf:type,owl:Class
aida-item:WEA.DaggerKnifeSword.Hatchet,rdf:type,owl:Class
aida-item:Conflict.Attack,rdf:type,owl:Class
aida-item:Life.Injure.InjuryCausedByViolentEvents,rdf:type,owl:Class
aida-item:FAC.Structure.Plaza,rdf:type,owl:Class
aida-entity:cab521fd-369e-40e9-ba8d-a97cc7c723b9,aida-property:OrganizationAffiliation.Leadership_Leader,aida-entity:4fba8ada-3361-459c-a37f-a0ccc4624ac5
aida-item:VEH.Aircraft,rdfs:subClassOf,aida-item:Entity
aida-item:Manufacture.Artifact.CreateManufacture,rdfs:subClassOf,aida-item:Manufacture.Artifact
aida-property:GeneralAffiliation.OrganizationPoliticalReligiousAffiliation_EntityOrFiller,rdf:type,owl:ObjectProperty
aida-item:Contact.CommandOrder.Meet,rdf:type,owl:Class
aida-item:Conflict.Attack.SetFire,rdf:type,owl:Class
aida-entity:e8d98762-d520-49ed-8de4-5b208d2e3fc9,aida-property:Physical.LocatedNear_Place,aida-entity:ed73b6b9-bd48-4560-a5ef-381937cca366
aida-item:GPE.Country.Country,rdfs:subClassOf,aida-item:GPE
aida-item:VEH.MilitaryVehicle.MilitaryTransportAircraft,rdfs:subClassOf,aida-item:VEH.MilitaryVehicle
aida-property:PartWhole.Subsidiary.NationalityCitizen_Parent,rdf:type,owl:ObjectProperty
aida-item:CRM.FinancialCrime,rdf:type,owl:Class
aida-item:Conflict.Attack,rdfs:subClassOf,aida-item:Event
aida-item:WEA.Bullets.LiveRounds,rdfs:subClassOf,aida-item:WEA.Bullets
aida-item:Movement.TransportPerson.Hide,rdfs:subClassOf,aida-item:Movement.TransportPerson
aida-item:COM.Wreckage.Wreckage,rdfs:subClassOf,aida-item:COM
aida-item:LOC.Land.Continent,rdfs:subClassOf,aida-item:LOC.Land
aida-entity:e45a2f47-4a27-4bfe-8a09-221d2216cd7f,rdf:type,aida-item:GPE.UrbanArea.City
aida-item:FAC.Structure.Tower,rdf:type,owl:Class
aida-entity:90846e8e-d544-4c5c-8405-eb0e62e73627,aida-property:Physical.LocatedNear_EntityOrFiller,aida-entity:de116796-d44b-4a1a-8491-4dcced8e8a9f
aida-item:ORG.CommercialOrganization,rdfs:subClassOf,aida-item:Entity
aida-item:CRM.BehaviorCrime.OrganizedCrime,rdfs:subClassOf,aida-item:CRM.BehaviorCrime
aida-item:WEA.DaggerKnifeSword,rdf:type,owl:Class
aida-item:Manufacture.Artifact.Build,rdfs:subClassOf,aida-item:Manufacture.Artifact
aida-item:Movement.TransportPerson.SmuggleExtract,rdf:type,owl:Class
aida-property:Physical.LocatedNear.Surround_EntityOrFiller,rdf:type,owl:ObjectProperty
aida-property:Contact.CommitmentPromiseExpressIntent.Meet_Communicator,rdf:type,owl:ObjectProperty
aida-item:LOC.Position.Field,rdfs:subClassOf,aida-item:LOC.Position
aida-item:Movement.TransportPerson.PreventEntry,rdf:type,owl:Class
aida-item:Contact.Collaborate,rdfs:subClassOf,aida-item:Event
aida-item:ORG.CommercialOrganization,rdfs:subClassOf,aida-item:ORG
aida-property:Measurement.Size.Weight_Measurement,rdf:type,owl:ObjectProperty
aida-item:VEH.WheeledVehicle.FireApparatus,rdf:type,owl:Class
aida-item:GeneralAffiliation.OrganizationPoliticalReligiousAffiliation,rdfs:subClassOf,aida-item:Relation
aida-item:CRM.FinancialCrime.Forgery,rdfs:subClassOf,aida-item:CRM.FinancialCrime
aida-item:SID.Religious.Religious,rdfs:subClassOf,aida-item:SID
aida-property:GeneralAffiliation.MemberOriginReligionEthnicity.NationalityCitizen_Nationality,rdf:type,owl:ObjectProperty
aida-item:SID.Religious.Religious,rdf:type,owl:Class
aida-property:OrganizationAffiliation.EmploymentMembership_PlaceOfEmploymentMembership,rdf:type,owl:ObjectProperty
aida-item:WEA,rdf:type,owl:Class
aida-item:WEA.Bullets.RubberBullets,rdfs:subClassOf,aida-item:WEA.Bullets
aida-item:ORG.CommercialOrganization.NewsAgency,rdfs:subClassOf,aida-item:ORG.CommercialOrganization
aida-item:Contact.ThreatenCoerce.Correspondence,rdf:type,owl:Class
aida-property:GeneralAffiliation.ArtifactPoliticalOrganizationReligiousAffiliation.ControlTerritory_Controller,rdf:type,owl:ObjectProperty
aida-item:VEH.Watercraft,rdfs:subClassOf,aida-item:VEH
aida-item:GPE.OrganizationOfCountries.OrganizationOfCountries,rdfs:subClassOf,aida-item:GPE
aida-item:Justice.InitiateJudicialProcess,rdfs:subClassOf,aida-item:Event
aida-property:OrganizationAffiliation.Leadership.HeadOfState_Country,rdf:type,owl:ObjectProperty
aida-item:ORG.Association.Team,rdfs:subClassOf,aida-item:ORG.Association
aida-item:LOC.Position.Neighborhood,rdfs:subClassOf,aida-item:LOC.Position
aida-item:Personnel.StartPosition.Hiring,rdf:type,owl:Class
aida-item:WEA.Bomb.Grenade,rdf:type,owl:Class
aida-item:COM,rdf:type,owl:Class
aida-item:Measurement.Size.HeightLengthWidth,rdf:type,owl:Class
aida-item:CRM.PoliticalCrime.AbuseOfOffice,rdfs:subClassOf,aida-item:CRM.PoliticalCrime
aida-item:VEH.WheeledVehicle.Train,rdfs:subClassOf,aida-item:VEH.WheeledVehicle
aida-item:MON.Assets.Assets,rdf:type,owl:Class
aida-item:Inspection.SensoryObserve,rdfs:subClassOf,aida-item:Event
aida-item:PER.MilitaryPersonnel,rdfs:subClassOf,aida-item:PER
aida-item:Transaction.Transaction.EmbargoSanction,rdfs:subClassOf,aida-item:Transaction.Transaction
aida-item:WEA.Club,rdf:type,owl:Class
aida-item:Justice.JudicialConsequences.Convict,rdfs:subClassOf,aida-item:Justice.JudicialConsequences
aida-item:Contact.Discussion.Correspondence,rdfs:subClassOf,aida-item:Contact.Discussion
aida-property:Physical.OrganizationHeadquarters.OrganizationHeadquarters_Organization,rdf:type,owl:ObjectProperty
aida-property:OrganizationAffiliation.Leadership.HeadOfState_Leader,rdf:type,owl:ObjectProperty
aida-item:VEH.MilitaryVehicle.MilitaryBoat,rdf:type,owl:Class
aida-item:Life.Die.NonviolentDeath,rdf:type,owl:Class
aida-item:OrganizationAffiliation.Leadership,rdf:type,owl:Class
aida-item:FAC.Building.ApartmentBuilding,rdf:type,owl:Class
aida-item:Measurement.Size,rdf:type,owl:Class
aida-property:Contact.CommitmentPromiseExpressIntent.Meet_Place,rdf:type,owl:ObjectProperty
aida-item:GPE.ProvinceState.ProvinceState,rdfs:subClassOf,aida-item:GPE
aida-item:Life.Injure.IllnessDegradationHungerThirst,rdfs:subClassOf,aida-item:Life.Injure
aida-item:PER.ProfessionalPosition.Firefighter,rdfs:subClassOf,aida-item:PER.ProfessionalPosition
aida-property:GeneralAffiliation.ArtifactPoliticalOrganizationReligiousAffiliation_Artifact,rdf:type,owl:ObjectProperty
aida-entity:d48106d9-91c7-4d10-a4dc-7d82d735a925,aida-property:Physical.LocatedNear_Place,aida-entity:b993cba5-67e3-4e8e-b843-0f8103af98a0
aida-item:Contact.CommitmentPromiseExpressIntent.Broadcast,rdf:type,owl:Class
