node,property,value
aida-property:ResponsibilityBlame.AssignBlame.AssignBlame_EntityResponsible,aida-property:hasName,"en:""aida-property:ResponsibilityBlame.AssignBlame.AssignBlame_EntityResponsible"""
aida-entity:4fba8ada-3361-459c-a37f-a0ccc4624ac5,aida-property:linkTarget,LDC2019E43:5168839
aida-entity:e45a2f47-4a27-4bfe-8a09-221d2216cd7f,aida-property:linkTarget,LDC2019E43:709717
aida-item:PER.Politician.Mayor,aida-property:hasName,"en:""aida-item:PER.Politician.Mayor"""
aida-entity:e45a2f47-4a27-4bfe-8a09-221d2216cd7f,aida-property:hasName,"en:""Donetsk"""
aida-entity:4fba8ada-3361-459c-a37f-a0ccc4624ac5,aida-property:hasName,"en:""Russian"""
aida-item:FAC.Building.GovernmentBuilding,aida-property:hasName,"en:""aida-item:FAC.Building.GovernmentBuilding"""
aida-property:Information.Make.Make_Brand,aida-property:hasName,"en:""aida-property:Information.Make.Make_Brand"""
aida-item:RES.NumberPercentageVotes.NumberPercentageVotes,aida-property:hasName,"en:""aida-item:RES.NumberPercentageVotes.NumberPercentageVotes"""
aida-property:Measurement.Size.HeightLengthWidth_EntityOrFiller,aida-property:hasName,"en:""aida-property:Measurement.Size.HeightLengthWidth_EntityOrFiller"""
aida-item:LOC.Position.Field,aida-property:hasName,"en:""aida-item:LOC.Position.Field"""
aida-item:Movement.TransportPerson.EvacuationRescue,aida-property:hasName,"en:""aida-item:Movement.TransportPerson.EvacuationRescue"""
aida-property:GeneralAffiliation.ArtifactPoliticalOrganizationReligiousAffiliation.NationalityCitizen_Artifact,aida-property:hasName,"en:""aida-property:GeneralAffiliation.ArtifactPoliticalOrganizationReligiousAffiliation.NationalityCitizen_Artifact"""
aida-item:Movement.TransportArtifact.PreventEntry,aida-property:hasName,"en:""aida-item:Movement.TransportArtifact.PreventEntry"""
aida-item:VEH.Rocket.Rocket,aida-property:hasName,"en:""aida-item:VEH.Rocket.Rocket"""
aida-item:WEA.ThrownProjectile,aida-property:hasName,"en:""aida-item:WEA.ThrownProjectile"""
aida-item:FAC.Installation.TrainStation,aida-property:hasName,"en:""aida-item:FAC.Installation.TrainStation"""
aida-item:PER.Fan.SportsFan,aida-property:hasName,"en:""aida-item:PER.Fan.SportsFan"""
aida-item:COM.Document,aida-property:hasName,"en:""aida-item:COM.Document"""
aida-property:Evaluate.Sentiment.Positive_Holder,aida-property:hasName,"en:""aida-property:Evaluate.Sentiment.Positive_Holder"""
aida-property:PersonalSocial.Role.TitleFormOfAddress_Title,aida-property:hasName,"en:""aida-property:PersonalSocial.Role.TitleFormOfAddress_Title"""
aida-entity:4fba8ada-3361-459c-a37f-a0ccc4624ac5,aida-property:hasName,"en:""Russia"""
aida-item:OrganizationAffiliation.EmploymentMembership.Employment,aida-property:hasName,"en:""aida-item:OrganizationAffiliation.EmploymentMembership.Employment"""
aida-item:GeneralAffiliation.MemberOriginReligionEthnicity.NationalityCitizen,aida-property:hasName,"en:""aida-item:GeneralAffiliation.MemberOriginReligionEthnicity.NationalityCitizen"""
aida-property:OrganizationAffiliation.Founder.Founder_Organization,aida-property:hasName,"en:""aida-property:OrganizationAffiliation.Founder.Founder_Organization"""
aida-property:Measurement.Size.Count_Measurement,aida-property:hasName,"en:""aida-property:Measurement.Size.Count_Measurement"""
aida-item:ORG.Government,aida-property:hasName,"en:""aida-item:ORG.Government"""
aida-item:Government.Agreements.ViolateAgreement,aida-property:hasName,"en:""aida-item:Government.Agreements.ViolateAgreement"""
aida-entity:1adf20cf-9ade-467e-82a3-f4583a7b5c19,aida-property:linkTarget,LDC2019E43:6615563
aida-item:FAC.Installation.Airport,aida-property:hasName,"en:""aida-item:FAC.Installation.Airport"""
aida-item:VEH.WheeledVehicle,aida-property:hasName,"en:""aida-item:VEH.WheeledVehicle"""
aida-entity:de116796-d44b-4a1a-8491-4dcced8e8a9f,aida-property:linkTarget,LDC2019E43:708222
aida-item:FAC.GeographicalArea.Border,aida-property:hasName,"en:""aida-item:FAC.GeographicalArea.Border"""
aida-item:FAC.Installation.MilitaryInstallation,aida-property:hasName,"en:""aida-item:FAC.Installation.MilitaryInstallation"""
aida-item:Government.Formation.StartGPE,aida-property:hasName,"en:""aida-item:Government.Formation.StartGPE"""
aida-item:Contact.Prevarication.Broadcast,aida-property:hasName,"en:""aida-item:Contact.Prevarication.Broadcast"""
aida-entity:e8d98762-d520-49ed-8de4-5b208d2e3fc9,aida-property:linkTarget,LDC2019E43:696643
aida-item:ArtifactExistence.DamageDestroy.Destroy,aida-property:hasName,"en:""aida-item:ArtifactExistence.DamageDestroy.Destroy"""
aida-item:Measurement.Size,aida-property:hasName,"en:""aida-item:Measurement.Size"""
aida-property:GeneralAffiliation.OrganizationWebsite.OrganizationWebsite_Website,aida-property:hasName,"en:""aida-property:GeneralAffiliation.OrganizationWebsite.OrganizationWebsite_Website"""
aida-item:GPE.UrbanArea.Village,aida-property:hasName,"en:""aida-item:GPE.UrbanArea.Village"""
aida-entity:4fba8ada-3361-459c-a37f-a0ccc4624ac5,aida-property:linkTarget,LDC2019E43:504176
aida-item:Manufacture.Artifact,aida-property:hasName,"en:""aida-item:Manufacture.Artifact"""
aida-item:Measurement.Size.HeightLengthWidth,aida-property:hasName,"en:""aida-item:Measurement.Size.HeightLengthWidth"""
aida-item:PartWhole.Subsidiary.NationalityCitizen,aida-property:hasName,"en:""aida-item:PartWhole.Subsidiary.NationalityCitizen"""
aida-item:VEH.Aircraft.Helicopter,aida-property:hasName,"en:""aida-item:VEH.Aircraft.Helicopter"""
aida-item:COM.Wreckage.Wreckage,aida-property:hasName,"en:""aida-item:COM.Wreckage.Wreckage"""
aida-item:Contact.CommitmentPromiseExpressIntent,aida-property:hasName,"en:""aida-item:Contact.CommitmentPromiseExpressIntent"""
aida-item:ORG.Government.LawEnforcementAgency,aida-property:hasName,"en:""aida-item:ORG.Government.LawEnforcementAgency"""
aida-item:OrganizationAffiliation.Leadership.Government,aida-property:hasName,"en:""aida-item:OrganizationAffiliation.Leadership.Government"""
aida-item:FAC.Building.OfficeBuilding,aida-property:hasName,"en:""aida-item:FAC.Building.OfficeBuilding"""
aida-item:Contact.ThreatenCoerce.Correspondence,aida-property:hasName,"en:""aida-item:Contact.ThreatenCoerce.Correspondence"""
aida-item:WEA.Bullets,aida-property:hasName,"en:""aida-item:WEA.Bullets"""
aida-item:Contact.RequestAdvise.Broadcast,aida-property:hasName,"en:""aida-item:Contact.RequestAdvise.Broadcast"""
aida-item:COM.Document.Map,aida-property:hasName,"en:""aida-item:COM.Document.Map"""
aida-item:PersonalSocial.Unspecified.Political,aida-property:hasName,"en:""aida-item:PersonalSocial.Unspecified.Political"""
aida-property:GeneralAffiliation.MemberOriginReligionEthnicity.Ethnicity_Ethnicity,aida-property:hasName,"en:""aida-property:GeneralAffiliation.MemberOriginReligionEthnicity.Ethnicity_Ethnicity"""
aida-property:GeneralAffiliation.Sponsorship_ActorOrEvent,aida-property:hasName,"en:""aida-property:GeneralAffiliation.Sponsorship_ActorOrEvent"""
aida-item:Transaction.Transaction.TransferControl,aida-property:hasName,"en:""aida-item:Transaction.Transaction.TransferControl"""
aida-entity:b993cba5-67e3-4e8e-b843-0f8103af98a0,aida-property:hasName,"en:""commander"""
aida-property:Measurement.Size.Percentage_Measurement,aida-property:hasName,"en:""aida-property:Measurement.Size.Percentage_Measurement"""
aida-item:Contact.ThreatenCoerce.Meet,aida-property:hasName,"en:""aida-item:Contact.ThreatenCoerce.Meet"""
aida-item:VEH.Watercraft.Yacht,aida-property:hasName,"en:""aida-item:VEH.Watercraft.Yacht"""
aida-item:Contact.Collaborate.Meet,aida-property:hasName,"en:""aida-item:Contact.Collaborate.Meet"""
aida-property:GeneralAffiliation.ArtifactPoliticalOrganizationReligiousAffiliation.OwnershipPossession_Owner,aida-property:hasName,"en:""aida-property:GeneralAffiliation.ArtifactPoliticalOrganizationReligiousAffiliation.OwnershipPossession_Owner"""
aida-item:LOC.Land.Continent,aida-property:hasName,"en:""aida-item:LOC.Land.Continent"""
aida-item:ORG.CommercialOrganization.BroadcastingCompany,aida-property:hasName,"en:""aida-item:ORG.CommercialOrganization.BroadcastingCompany"""
aida-item:ORG.PoliticalOrganization.Party,aida-property:hasName,"en:""aida-item:ORG.PoliticalOrganization.Party"""
aida-item:WEA,aida-property:hasName,"en:""aida-item:WEA"""
aida-entity:cab521fd-369e-40e9-ba8d-a97cc7c723b9,aida-property:hasName,"en:""Putin"""
aida-property:GeneralAffiliation.ArtifactPoliticalOrganizationReligiousAffiliation.ControlTerritory_Territory,aida-property:hasName,"en:""aida-property:GeneralAffiliation.ArtifactPoliticalOrganizationReligiousAffiliation.ControlTerritory_Territory"""
aida-property:OrganizationAffiliation.Leadership.MilitaryPolice_Leader,aida-property:hasName,"en:""aida-property:OrganizationAffiliation.Leadership.MilitaryPolice_Leader"""
aida-item:PER.ProfessionalPosition.Spokesperson,aida-property:hasName,"en:""aida-item:PER.ProfessionalPosition.Spokesperson"""
aida-item:WEA.MissileSystem.Missile,aida-property:hasName,"en:""aida-item:WEA.MissileSystem.Missile"""
aida-property:PersonalSocial.Role_Person,aida-property:hasName,"en:""aida-property:PersonalSocial.Role_Person"""
aida-item:GeneralAffiliation.Sponsorship.Affiliated,aida-property:hasName,"en:""aida-item:GeneralAffiliation.Sponsorship.Affiliated"""
aida-item:OrganizationAffiliation.EmploymentMembership.Membership,aida-property:hasName,"en:""aida-item:OrganizationAffiliation.EmploymentMembership.Membership"""
aida-item:Life.Die.DeathCausedByViolentEvents,aida-property:hasName,"en:""aida-item:Life.Die.DeathCausedByViolentEvents"""
aida-item:Inspection.SensoryObserve.MonitorElection,aida-property:hasName,"en:""aida-item:Inspection.SensoryObserve.MonitorElection"""
aida-item:BAL.BallotSlate.BallotSlate,aida-property:hasName,"en:""aida-item:BAL.BallotSlate.BallotSlate"""
aida-entity:42fe32a7-57a6-499e-9043-d45cf4522f76,aida-property:hasName,"en:""National Guard"""
aida-item:Transaction.Transaction,aida-property:hasName,"en:""aida-item:Transaction.Transaction"""
aida-item:Personnel.EndPosition.FiringLayoff,aida-property:hasName,"en:""aida-item:Personnel.EndPosition.FiringLayoff"""
aida-item:VEH.MilitaryVehicle.FighterAircraft,aida-property:hasName,"en:""aida-item:VEH.MilitaryVehicle.FighterAircraft"""
aida-property:GeneralAffiliation.ArtifactPoliticalOrganizationReligiousAffiliation_Artifact,aida-property:hasName,"en:""aida-property:GeneralAffiliation.ArtifactPoliticalOrganizationReligiousAffiliation_Artifact"""
aida-property:Physical.OrganizationHeadquarters.OrganizationHeadquarters_Organization,aida-property:hasName,"en:""aida-property:Physical.OrganizationHeadquarters.OrganizationHeadquarters_Organization"""
aida-item:MON,aida-property:hasName,"en:""aida-item:MON"""
aida-item:Movement.TransportPerson.SelfMotion,aida-property:hasName,"en:""aida-item:Movement.TransportPerson.SelfMotion"""
aida-item:Government.Agreements.AcceptAgreementContractCeasefire,aida-property:hasName,"en:""aida-item:Government.Agreements.AcceptAgreementContractCeasefire"""
aida-item:Movement.TransportPerson.BringCarryUnload,aida-property:hasName,"en:""aida-item:Movement.TransportPerson.BringCarryUnload"""
aida-item:WEA.Bullets.LiveRounds,aida-property:hasName,"en:""aida-item:WEA.Bullets.LiveRounds"""
aida-item:Measurement.Size.Percentage,aida-property:hasName,"en:""aida-item:Measurement.Size.Percentage"""
aida-item:ORG.Government.ProsecutorOffice,aida-property:hasName,"en:""aida-item:ORG.Government.ProsecutorOffice"""
aida-entity:d93aa0ec-a038-47c6-9983-334903ee39a8,aida-property:hasName,"en:""Abbott"""
aida-entity:f4cfc546-ff27-4df0-b19b-71dbdbc93a29,aida-property:linkTarget,LDC2019E43:30004989
aida-item:CRM.PoliticalCrime,aida-property:hasName,"en:""aida-item:CRM.PoliticalCrime"""
aida-item:Life.Injure.InjuryCausedByViolentEvents,aida-property:hasName,"en:""aida-item:Life.Injure.InjuryCausedByViolentEvents"""
aida-item:ORG.MilitaryOrganization.NonGovernmentMilitia,aida-property:hasName,"en:""aida-item:ORG.MilitaryOrganization.NonGovernmentMilitia"""
aida-item:VEH.MilitaryVehicle.MilitaryBoat,aida-property:hasName,"en:""aida-item:VEH.MilitaryVehicle.MilitaryBoat"""
aida-item:Movement.TransportArtifact.ReceiveImport,aida-property:hasName,"en:""aida-item:Movement.TransportArtifact.ReceiveImport"""
aida-item:WEA.ThrownProjectile.Rock,aida-property:hasName,"en:""aida-item:WEA.ThrownProjectile.Rock"""
aida-item:Contact.RequestAdvise.Meet,aida-property:hasName,"en:""aida-item:Contact.RequestAdvise.Meet"""
aida-item:COM.Equipment,aida-property:hasName,"en:""aida-item:COM.Equipment"""
aida-item:Movement.TransportArtifact,aida-property:hasName,"en:""aida-item:Movement.TransportArtifact"""
aida-item:Contact.Discussion.Correspondence,aida-property:hasName,"en:""aida-item:Contact.Discussion.Correspondence"""
aida-item:WEA.Cannon.Cannon,aida-property:hasName,"en:""aida-item:WEA.Cannon.Cannon"""
aida-item:Contact.CommandOrder.Correspondence,aida-property:hasName,"en:""aida-item:Contact.CommandOrder.Correspondence"""
aida-item:FAC.Way.Highway,aida-property:hasName,"en:""aida-item:FAC.Way.Highway"""
aida-item:Justice.InitiateJudicialProcess.ChargeIndict,aida-property:hasName,"en:""aida-item:Justice.InitiateJudicialProcess.ChargeIndict"""
aida-item:ORG.PoliticalOrganization,aida-property:hasName,"en:""aida-item:ORG.PoliticalOrganization"""
aida-property:Evaluate.Legitimacy.Legitimate_Holder,aida-property:hasName,"en:""aida-property:Evaluate.Legitimacy.Legitimate_Holder"""
aida-entity:d93aa0ec-a038-47c6-9983-334903ee39a8,aida-property:hasName,"en:""Tony Abbott"""
aida-item:Conflict.Attack.AirstrikeMissileStrike,aida-property:hasName,"en:""aida-item:Conflict.Attack.AirstrikeMissileStrike"""
aida-entity:5aa209ed-0b29-42c9-99f6-bb7f451b418e,aida-property:hasName,"en:""Crimea"""
aida-item:Manufacture.Artifact.CreateManufacture,aida-property:hasName,"en:""aida-item:Manufacture.Artifact.CreateManufacture"""
aida-property:GeneralAffiliation.Sponsorship.HelpSupport_ActorOrEvent,aida-property:hasName,"en:""aida-property:GeneralAffiliation.Sponsorship.HelpSupport_ActorOrEvent"""
aida-item:Transaction.TransferOwnership.GiftGrantProvideAid,aida-property:hasName,"en:""aida-item:Transaction.TransferOwnership.GiftGrantProvideAid"""
aida-entity:ba5bd100-3c53-45bb-8c1e-81d7827e948d,aida-property:hasName,"en:""Black Sea"""
aida-property:PartWhole.Subsidiary_Parent,aida-property:hasName,"en:""aida-property:PartWhole.Subsidiary_Parent"""
aida-item:FAC.Building.House,aida-property:hasName,"en:""aida-item:FAC.Building.House"""
aida-entity:de116796-d44b-4a1a-8491-4dcced8e8a9f,aida-property:linkTarget,LDC2019E43:3059902
aida-property:OrganizationAffiliation.Founder.Founder_Founder,aida-property:hasName,"en:""aida-property:OrganizationAffiliation.Founder.Founder_Founder"""
aida-item:Life.Die.NonviolentDeath,aida-property:hasName,"en:""aida-item:Life.Die.NonviolentDeath"""
aida-item:ORG.CriminalOrganization.CriminalOrganization,aida-property:hasName,"en:""aida-item:ORG.CriminalOrganization.CriminalOrganization"""
aida-entity:e8d98762-d520-49ed-8de4-5b208d2e3fc9,aida-property:linkTarget,LDC2019E43:703883
aida-property:ResponsibilityBlame.AssignBlame.AssignBlame_Event,aida-property:hasName,"en:""aida-property:ResponsibilityBlame.AssignBlame.AssignBlame_Event"""
aida-item:Government.Agreements,aida-property:hasName,"en:""aida-item:Government.Agreements"""
aida-entity:4fba8ada-3361-459c-a37f-a0ccc4624ac5,aida-property:linkTarget,LDC2019E43:3796638
aida-item:GPE,aida-property:hasName,"en:""aida-item:GPE"""
aida-property:PersonalSocial.Role.ProfessionalRole_JobRole,aida-property:hasName,"en:""aida-property:PersonalSocial.Role.ProfessionalRole_JobRole"""
aida-property:Evaluate.Deliberateness.Deliberate_Holder,aida-property:hasName,"en:""aida-property:Evaluate.Deliberateness.Deliberate_Holder"""
aida-item:PER.ProfessionalPosition.Paramedic,aida-property:hasName,"en:""aida-item:PER.ProfessionalPosition.Paramedic"""
aida-entity:e45a2f47-4a27-4bfe-8a09-221d2216cd7f,aida-property:linkTarget,LDC2019E43:565348
aida-item:MON.Cash.Cash,aida-property:hasName,"en:""aida-item:MON.Cash.Cash"""
aida-item:PER.Police,aida-property:hasName,"en:""aida-item:PER.Police"""
aida-item:PER.ProfessionalPosition.Minister,aida-property:hasName,"en:""aida-item:PER.ProfessionalPosition.Minister"""
aida-entity:1adf20cf-9ade-467e-82a3-f4583a7b5c19,aida-property:linkTarget,LDC2019E43:2174003
aida-item:PER.Politician.HeadOfGovernment,aida-property:hasName,"en:""aida-item:PER.Politician.HeadOfGovernment"""
aida-item:Transaction.TransferMoney.EmbargoSanction,aida-property:hasName,"en:""aida-item:Transaction.TransferMoney.EmbargoSanction"""
aida-item:PersonalSocial.Role.ProfessionalRole,aida-property:hasName,"en:""aida-item:PersonalSocial.Role.ProfessionalRole"""
aida-item:Measurement.Size.Count,aida-property:hasName,"en:""aida-item:Measurement.Size.Count"""
aida-item:FAC.Structure.Barricade,aida-property:hasName,"en:""aida-item:FAC.Structure.Barricade"""
aida-item:PER.ProfessionalPosition.Firefighter,aida-property:hasName,"en:""aida-item:PER.ProfessionalPosition.Firefighter"""
aida-item:WEA.Gas.TearGas,aida-property:hasName,"en:""aida-item:WEA.Gas.TearGas"""
aida-item:Movement.TransportPerson.GrantEntryAsylum,aida-property:hasName,"en:""aida-item:Movement.TransportPerson.GrantEntryAsylum"""
aida-property:PartWhole.Subsidiary_Subsidiary,aida-property:hasName,"en:""aida-property:PartWhole.Subsidiary_Subsidiary"""
aida-item:GeneralAffiliation.ArtifactPoliticalOrganizationReligiousAffiliation.NationalityCitizen,aida-property:hasName,"en:""aida-item:GeneralAffiliation.ArtifactPoliticalOrganizationReligiousAffiliation.NationalityCitizen"""
aida-item:LOC.Position.AirSpace,aida-property:hasName,"en:""aida-item:LOC.Position.AirSpace"""
aida-item:CRM.BehaviorCrime,aida-property:hasName,"en:""aida-item:CRM.BehaviorCrime"""
aida-item:ORG.Association.Club,aida-property:hasName,"en:""aida-item:ORG.Association.Club"""
aida-item:OrganizationAffiliation.Leadership,aida-property:hasName,"en:""aida-item:OrganizationAffiliation.Leadership"""
aida-item:Justice.InitiateJudicialProcess.TrialHearing,aida-property:hasName,"en:""aida-item:Justice.InitiateJudicialProcess.TrialHearing"""
aida-item:Contact.Prevarication,aida-property:hasName,"en:""aida-item:Contact.Prevarication"""
aida-item:Transaction.TransferOwnership.Purchase,aida-property:hasName,"en:""aida-item:Transaction.TransferOwnership.Purchase"""
aida-item:FAC.Building,aida-property:hasName,"en:""aida-item:FAC.Building"""
aida-item:LOC.GeographicPoint,aida-property:hasName,"en:""aida-item:LOC.GeographicPoint"""
aida-item:GeneralAffiliation.Sponsorship.HelpSupport,aida-property:hasName,"en:""aida-item:GeneralAffiliation.Sponsorship.HelpSupport"""
aida-item:CRM,aida-property:hasName,"en:""aida-item:CRM"""
aida-item:Movement.TransportPerson.Fall,aida-property:hasName,"en:""aida-item:Movement.TransportPerson.Fall"""
aida-item:ORG.CommercialOrganization,aida-property:hasName,"en:""aida-item:ORG.CommercialOrganization"""
aida-item:CRM.ViolentCrime.Terrorism,aida-property:hasName,"en:""aida-item:CRM.ViolentCrime.Terrorism"""
aida-item:GeneralAffiliation.MemberOriginReligionEthnicity.Ethnicity,aida-property:hasName,"en:""aida-item:GeneralAffiliation.MemberOriginReligionEthnicity.Ethnicity"""
aida-item:Transaction.TransferMoney.GiftGrantProvideAid,aida-property:hasName,"en:""aida-item:Transaction.TransferMoney.GiftGrantProvideAid"""
aida-property:OrganizationAffiliation.Leadership.HeadOfState_Country,aida-property:hasName,"en:""aida-property:OrganizationAffiliation.Leadership.HeadOfState_Country"""
aida-item:Contact.FuneralVigil.Meet,aida-property:hasName,"en:""aida-item:Contact.FuneralVigil.Meet"""
aida-property:OrganizationAffiliation.Leadership.Government_Leader,aida-property:hasName,"en:""aida-property:OrganizationAffiliation.Leadership.Government_Leader"""
aida-item:GPE.UrbanArea.City,aida-property:hasName,"en:""aida-item:GPE.UrbanArea.City"""
aida-entity:d48106d9-91c7-4d10-a4dc-7d82d735a925,aida-property:linkTarget,LDC2019E43:703448
aida-item:Transaction.TransferOwnership.EmbargoSanction,aida-property:hasName,"en:""aida-item:Transaction.TransferOwnership.EmbargoSanction"""
aida-item:ArtifactExistence.DamageDestroy,aida-property:hasName,"en:""aida-item:ArtifactExistence.DamageDestroy"""
aida-item:Movement.TransportPerson,aida-property:hasName,"en:""aida-item:Movement.TransportPerson"""
aida-item:WEA.MissileSystem.AntiAircraftMissle,aida-property:hasName,"en:""aida-item:WEA.MissileSystem.AntiAircraftMissle"""
aida-entity:5aa209ed-0b29-42c9-99f6-bb7f451b418e,aida-property:linkTarget,LDC2019E43:703884
aida-property:PersonalSocial.Role.TitleFormOfAddress_Person,aida-property:hasName,"en:""aida-property:PersonalSocial.Role.TitleFormOfAddress_Person"""
aida-property:Measurement.Size.Weight_Measurement,aida-property:hasName,"en:""aida-property:Measurement.Size.Weight_Measurement"""
aida-property:Measurement.Size_EntityOrFiller,aida-property:hasName,"en:""aida-property:Measurement.Size_EntityOrFiller"""
aida-item:Transaction.TransferOwnership,aida-property:hasName,"en:""aida-item:Transaction.TransferOwnership"""
aida-property:Measurement.Size.Weight_EntityOrFiller,aida-property:hasName,"en:""aida-property:Measurement.Size.Weight_EntityOrFiller"""
aida-property:GeneralAffiliation.MemberOriginReligionEthnicity.Ethnicity_Person,aida-property:hasName,"en:""aida-property:GeneralAffiliation.MemberOriginReligionEthnicity.Ethnicity_Person"""
aida-property:Physical.LocatedNear.Surround_EntityOrFiller,aida-property:hasName,"en:""aida-property:Physical.LocatedNear.Surround_EntityOrFiller"""
aida-item:PER.Protester.ProtestLeader,aida-property:hasName,"en:""aida-item:PER.Protester.ProtestLeader"""
aida-item:WEA.MissileSystem,aida-property:hasName,"en:""aida-item:WEA.MissileSystem"""
aida-item:VEH.Aircraft.CargoAircraft,aida-property:hasName,"en:""aida-item:VEH.Aircraft.CargoAircraft"""
aida-item:Contact.CommitmentPromiseExpressIntent.Meet,aida-property:hasName,"en:""aida-item:Contact.CommitmentPromiseExpressIntent.Meet"""
aida-item:VEH.WheeledVehicle.Car,aida-property:hasName,"en:""aida-item:VEH.WheeledVehicle.Car"""
aida-property:Physical.Resident.Resident_Place,aida-property:hasName,"en:""aida-property:Physical.Resident.Resident_Place"""
aida-item:ORG.International,aida-property:hasName,"en:""aida-item:ORG.International"""
aida-property:OrganizationAffiliation.Leadership.MilitaryPolice_MilitaryPoliceORG,aida-property:hasName,"en:""aida-property:OrganizationAffiliation.Leadership.MilitaryPolice_MilitaryPoliceORG"""
aida-item:LOC,aida-property:hasName,"en:""aida-item:LOC"""
aida-item:FAC.Building.StoreShop,aida-property:hasName,"en:""aida-item:FAC.Building.StoreShop"""
aida-item:VEH.WheeledVehicle.FireApparatus,aida-property:hasName,"en:""aida-item:VEH.WheeledVehicle.FireApparatus"""
aida-item:FAC.GeographicalArea,aida-property:hasName,"en:""aida-item:FAC.GeographicalArea"""
aida-property:PartWhole.Subsidiary.OrganizationSubsidiary_Parent,aida-property:hasName,"en:""aida-property:PartWhole.Subsidiary.OrganizationSubsidiary_Parent"""
aida-item:Contact.Collaborate.Correspondence,aida-property:hasName,"en:""aida-item:Contact.Collaborate.Correspondence"""
aida-item:Conflict.Attack.Bombing,aida-property:hasName,"en:""aida-item:Conflict.Attack.Bombing"""
aida-item:WEA.Gun.Artillery,aida-property:hasName,"en:""aida-item:WEA.Gun.Artillery"""
aida-entity:ba5bd100-3c53-45bb-8c1e-81d7827e948d,aida-property:linkTarget,LDC2019E43:630673
aida-property-type:DateTime,aida-property:hasName,"en:""aida-property-type:DateTime"""
aida-item:BAL.PaperBallot.PaperBallot,aida-property:hasName,"en:""aida-item:BAL.PaperBallot.PaperBallot"""
aida-item:RES,aida-property:hasName,"en:""aida-item:RES"""
aida-item:Contact.CommandOrder.Meet,aida-property:hasName,"en:""aida-item:Contact.CommandOrder.Meet"""
aida-entity:cab521fd-369e-40e9-ba8d-a97cc7c723b9,aida-property:linkTarget,LDC2019E43:30003842
aida-item:Movement.TransportPerson.Hide,aida-property:hasName,"en:""aida-item:Movement.TransportPerson.Hide"""
aida-item:Conflict.Attack,aida-property:hasName,"en:""aida-item:Conflict.Attack"""
aida-item:Justice.Investigate.InvestigateCrime,aida-property:hasName,"en:""aida-item:Justice.Investigate.InvestigateCrime"""
aida-item:Justice.JudicialConsequences.Extradite,aida-property:hasName,"en:""aida-item:Justice.JudicialConsequences.Extradite"""
aida-item:Conflict.Yield.Surrender,aida-property:hasName,"en:""aida-item:Conflict.Yield.Surrender"""
aida-item:Contact.CommandOrder.Broadcast,aida-property:hasName,"en:""aida-item:Contact.CommandOrder.Broadcast"""
aida-property:GeneralAffiliation.Sponsorship.AdvisePlanOrganize_ActorOrEvent,aida-property:hasName,"en:""aida-property:GeneralAffiliation.Sponsorship.AdvisePlanOrganize_ActorOrEvent"""
aida-item:Personnel.StartPosition,aida-property:hasName,"en:""aida-item:Personnel.StartPosition"""
aida-item:Movement.TransportPerson.PreventEntry,aida-property:hasName,"en:""aida-item:Movement.TransportPerson.PreventEntry"""
