node1	label	node2	datasource	weight
/c/en/abscessed+rg:abscessed	/r/Synonym	/c/en/putrefactive+rg:putrefactive	ROGET	1.0
/c/en/abscissional/a	/r/RelatedTo	rg:abscission+/c/en/abscission	CN	1.0
/c/en/absent_minded_professor/n	/r/RelatedTo	/c/en/forget+at:forget+rg:forget	CN	1.0
/c/en/abstract+vg:abstract+rg:abstract	/r/IsA	rg:summary+/c/en/summary	CN	2.0
/c/en/abt/a	/r/HasContext	/c/en/academics+rg:academics	CN	1.0
/c/en/abvolt/n/wn/quantity+wn:abvolt.n.01+wd:Q618655	/r/PartOf	wn:volt.n.01+/c/en/volt/n/wn/quantity	CN	2.0
/c/en/abyssal+rg:abyssal	/r/RelatedTo	/c/en/bassalian/a	CN	1.0
/c/en/acacia/n/wikt/en_1	/r/RelatedTo	/c/en/locust_tree	CN	1.0
/c/en/acalephs/n	/r/RelatedTo	/c/en/acaleph	CN	1.0
/c/en/acanthosis/n	/r/HasContext	rg:medicine+at:medicine+vg:medicine+/c/en/medicine	CN	1.0
/c/en/acceptant/a	/r/RelatedTo	/c/en/accepting+rg:accepting+at:accepting	CN	1.0
/c/en/access_specifiers/n	/r/RelatedTo	/c/en/access_specifier	CN	1.0
/c/en/accessory_before_fact/n	mw:OMWordnetOffset	wn:accessory_before_the_fact.n.01+/c/en/accessory_before_fact/n/wn/person	CN	1.0
/c/en/acclaim+fn:lu:judgment_communication:acclaim+rg:acclaim	/r/Antonym	rg:vituperation+/c/en/vituperation	ROGET	1.0
/c/en/accloy/v	/r/RelatedTo	/c/en/block+rg:block+at:block+vg:block	CN	1.0
/c/en/accolade/n/wn/communication	/r/Synonym	wn:award.n.02+wd:Q207333+/c/en/award/n/wn/communication	CN	2.0
/c/en/accommodate+rg:accommodate	/r/Synonym	rg:afford+/c/en/afford	ROGET	1.0
/c/en/accommodation+rg:accommodation	/r/Synonym	/c/en/appeasement/n	CN	1.0
/c/en/accomplishable+rg:accomplishable	/r/Synonym	/c/en/doable+rg:doable	ROGET	1.0
/c/en/accountless	/r/DerivedFrom	rg:account+/c/en/account	CN	1.0
/c/en/accouri/n	/r/RelatedTo	/c/en/agouti	CN	1.0
/c/en/accumulate+rg:accumulate	/r/Synonym	fn:lu:food_gathering:gather+fn:lu:gathering_up:gather+fn:lu:congregating:gather+/c/en/gather/v+fn:lu:come_together:gather	CN	1.0
/c/en/acervate	mw:POSForm	/c/en/acervate/a	CN	1.0
/c/en/acetum+rg:acetum	mw:POSForm	/c/en/acetum/n	CN	1.0
/c/en/acetylenic/a	mw:IsPOSFormOf	/c/en/acetylenic	CN	1.0
/c/en/acetyltannic_acid/n	/r/RelatedTo	/c/en/tannin	CN	1.0
/c/en/achronologically/r	/r/RelatedTo	rg:chronological+/c/en/chronological	CN	1.0
/c/en/acid_rain	/r/ReceivesAction	/c/en/caused_by_toxic_smog	CN	1.0
/c/en/acklins/n	mw:IsPOSFormOf	/c/en/acklins	CN	1.0
/c/en/aclinical	/r/DerivedFrom	rg:clinical+/c/en/clinical	CN	1.0
/c/en/acne/n	mw:PartOfSpeech	mw:Noun	CN	1.0
/c/en/acocanthera_oblongifolia/n/wn/plant	/r/Synonym	/c/en/winter_sweet/n/wn/plant+wd:Q51407336+wn:winter_sweet.n.03	CN	2.0
/c/en/acousticophobia/n	/r/RelatedTo	/c/en/fear+rg:fear+at:fear	CN	1.0
/c/en/acrimonious+rg:acrimonious	/r/Synonym	rg:bitter+at:bitter+/c/en/bitter+vg:bitter	ROGET	1.0
/c/en/acrocephalia/n	/r/HasContext	rg:medicine+at:medicine+vg:medicine+/c/en/medicine	CN	1.0
/c/en/acrocephalosyndactylia/n	mw:PartOfSpeech	mw:Noun	CN	1.0
/c/en/acrocyanotic/a	mw:PartOfSpeech	mw:Adjective	CN	1.0
/c/en/acrosomal/a	mw:PartOfSpeech	mw:Adjective	CN	1.0
/c/en/across+vg:across+rg:across	vg:InImage	vg:I2380992	VG	1.0
/c/en/across+vg:across+rg:across	vg:InImage	vg:I2532	VG	1.0
/c/en/action+vg:action+at:action+rg:action	/r/RelatedTo	/c/en/bill_of_costs/n	CN	1.0
/c/en/action+vg:action+at:action+rg:action	/r/Synonym	rg:power+vg:power+at:power+/c/en/power	ROGET	1.0
/c/en/active/a	mw:OMWordnetOffset	wn:active.a.13+/c/en/active/a/wn/vent	CN	1.0
/c/en/activewear/n	mw:PartOfSpeech	mw:Noun	CN	1.0
/c/en/acv	/r/DerivedFrom	/c/en/cv/n	CN	1.0
/c/en/adaptativeness	/r/RelatedTo	/c/en/adaptability/n	CN	1.0
/c/en/adaptees/n	mw:PartOfSpeech	mw:Noun	CN	1.0
/c/en/adaption+rg:adaption	/r/Synonym	/c/en/adaptation+rg:adaptation	ROGET	1.0
/c/en/adaptive_optics/n	/r/RelatedTo	/c/en/optical+rg:optical+vg:optical	CN	1.0
/c/en/adbasal	/r/DerivedFrom	/c/en/basal+rg:basal+vg:basal	CN	1.0
/c/en/additive_inverse/n	/r/RelatedTo	rg:inverse+/c/en/inverse	CN	1.0
/c/en/addolorato/n	/r/RelatedTo	/c/en/sorrowfully+rg:sorrowfully	CN	1.0
/c/en/address/v/wn/social+wn:address.v.06	/r/Synonym	wn:call.v.13+wn:call.v.07+/c/en/call/v/wn/social	CN	2.0
/c/en/address_verification_service/n	mw:IsPOSFormOf	/c/en/address_verification_service	CN	1.0
/c/en/addressing_machine/n/wn/artifact+wn:addressing_machine.n.01	/r/Synonym	/c/en/addressograph/n/wn/artifact	CN	2.0
/c/en/adduce/v	/r/Synonym	/c/en/allege+rg:allege	CN	1.0
/c/en/adductive+rg:adductive	/r/Antonym	rg:abducent+/c/en/abducent	ROGET	1.0
/c/en/adeno_associated_virus_serotype_5	/r/DerivedFrom	/c/en/adeno_associated_virus/n	CN	1.0
/c/en/adenofibrosis/n	/r/RelatedTo	rg:collagenous+/c/en/collagenous	CN	1.0
/c/en/adhocracies	mw:POSForm	/c/en/adhocracies/n	CN	1.0
/c/en/adjacent_angle/n	mw:IsPOSFormOf	/c/en/adjacent_angle	CN	1.0
/c/en/adjective+rg:adjective	/r/RelatedTo	/c/en/johari_window/n	CN	1.0
/c/en/admissions	/r/RelatedTo	vg:merit+/c/en/merit+rg:merit	CN	0.11599999999999999
/c/en/admonish+rg:admonish	/r/RelatedTo	/c/en/roast/v+fn:lu:apply_heat:roast	CN	1.0
/c/en/adnyamathanha/n	mw:PartOfSpeech	mw:Noun	CN	1.0
/c/en/adobe_software/n	mw:PartOfSpeech	mw:Noun	CN	1.0
/c/en/adorer/n	/r/RelatedTo	rg:fondness+/c/en/fondness+at:fondness	CN	1.0
/c/en/adrenochromes/n	mw:PartOfSpeech	mw:Noun	CN	1.0
/c/en/adsorb/v	/r/RelatedTo	/c/en/adsorption	CN	1.0
/c/en/advance_person/n	/r/RelatedTo	vg:business+at:business+/c/en/business+rg:business	CN	1.0
/c/en/advanceable/a	mw:PartOfSpeech	mw:Adjective	CN	1.0
/c/en/adventurous/a/wn+wn:adventurous.a.01	/r/RelatedTo	/c/en/bold/a/wn+wn:bold.s.02+wn:bold.a.01	CN	2.0
/c/en/adversarial	/r/Antonym	/c/en/cooperative/a	CN	1.0
/c/en/adversative+rg:adversative	mw:POSForm	/c/en/adversative/a	CN	1.0
/c/en/advertisement+rg:advertisement+vg:advertisement+at:advertisement	/r/RelatedTo	vg:doorway+rg:doorway+/c/en/doorway	VG	1.0
/c/en/advice_animal/n	/r/RelatedTo	/c/en/colour_wheel	CN	1.0
/c/en/advisedly+rg:advisedly	/r/Synonym	rg:carefully+/c/en/carefully+vg:carefully+at:carefully	ROGET	1.0
/c/en/advocate/v	/r/RelatedTo	rg:advocacy+/c/en/advocacy	CN	1.0
/c/en/aegir/n	/r/FormOf	rg:eagre+/c/en/eagre	CN	1.0
/c/en/aerial+vg:aerial+rg:aerial	/r/Synonym	/c/en/airy+vg:airy+at:airy+rg:airy	ROGET	1.0
/c/en/aeriform+rg:aeriform	/r/Synonym	/c/en/aery+rg:aery	ROGET	1.0
/c/en/aerodynamically	/r/DerivedFrom	vg:aerodynamic+/c/en/aerodynamic+rg:aerodynamic	CN	1.0
/c/en/aeronautics/n	/r/RelatedTo	vg:flying+rg:flying+at:flying+/c/en/flying	CN	1.0
/c/en/aerophore/n	/r/HasContext	vg:historical+/c/en/historical+at:historical+rg:historical	CN	1.0
/c/en/aerosolise/v	/r/RelatedTo	/c/en/aerosolisation	CN	1.0
/c/en/afebrile/a	/r/Synonym	/c/en/apyretic	CN	1.0
/c/en/affine_combination/n	/r/IsA	/c/en/linear_combination	CN	1.0
/c/en/affordable+vg:affordable+rg:affordable	/r/Antonym	rg:big-ticket	ROGET	1.0
/c/en/african_americans/n	mw:PartOfSpeech	mw:Noun	CN	1.0
/c/en/afro_americans/n	mw:PartOfSpeech	mw:Noun	CN	1.0
/c/en/afterhand/a	/r/HasContext	/c/en/scotland	CN	1.0
/c/en/afterlives/n	mw:IsPOSFormOf	/c/en/afterlives	CN	1.0
/c/en/afternoon_tea/n	/r/HasContext	/c/en/hong_kong+vg:hong_kong	CN	1.0
/c/en/afters/n	/r/HasContext	/c/en/british+rg:british+vg:british	CN	1.0
/c/en/against+vg:against+rg:against	vg:InImage	vg:I2391140	VG	1.0
/c/en/against+vg:against+rg:against	vg:subject	vg:scoop+rg:scoop+/c/en/scoop	VG	1.0
/c/en/against_grain	/r/HasContext	rg:woodworking+/c/en/woodworking	CN	1.0
/c/en/age/n	/r/RelatedTo	at:history+rg:history+/c/en/history+vg:history	CN	1.0
/c/en/age/v/wn/change+wn:age.v.01+wn:age.v.03	rdfs:subClassOf	wn:change.v.01+wn:change.v.03+wn:change.v.02+wn:change.v.05+wn:change.v.06+wn:change.v.10+wd:Q48442+/c/en/change/v/wn/change	WN	1.0
/c/en/agent_noun	/r/RelatedTo	/c/en/stutterer/n	CN	1.0
/c/en/agewise	/r/DerivedFrom	at:age+rg:age+/c/en/age+vg:age	CN	1.0
/c/en/aggrandizement+rg:aggrandizement	/r/RelatedTo	/c/en/aggrandize/v	CN	1.0
/c/en/aggregate/n	/r/RelatedTo	at:sand+vg:sand+/c/en/sand+rg:sand	CN	1.0
/c/en/agitation+rg:agitation	/r/RelatedTo	/c/en/toss/n	CN	1.0
/c/en/aglyph	/r/SimilarTo	/c/en/proteroglyph/n	CN	1.0
/c/en/agnoprotein	mw:POSForm	/c/en/agnoprotein/n	CN	1.0
/c/en/agogic/n	/r/RelatedTo	/c/en/time_value	CN	1.0
/c/en/agonistic+at:agonistic+rg:agonistic	/r/Synonym	rg:stilted+/c/en/stilted	ROGET	1.0
/c/en/agrifoodstuff/n	mw:PartOfSpeech	mw:Noun	CN	1.0
/c/en/agropyron_cristatum/n	mw:PartOfSpeech	mw:Noun	CN	1.0
/c/en/ahlspiessen/n	/r/FormOf	/c/en/ahlspiess	CN	1.0
/c/en/aid+at:aid+rg:aid+vg:aid	/r/RelatedTo	/c/en/blueing/n	CN	1.0
/c/en/ailment+rg:ailment	/r/Synonym	/c/en/badness/n	CN	1.0
/c/en/air_conditioner+vg:air_conditioner	/r/RelatedTo	rg:fan+/c/en/fan+vg:fan	CN	0.35200000000000004
/c/en/air_conditioner/n	/r/IsA	/c/en/mechanical_device/n	CN	1.0
/c/en/air_jacket	mw:POSForm	/c/en/air_jacket/n	CN	1.0
/c/en/airborne+vg:airborne+rg:airborne	/r/Synonym	at:movable+/c/en/movable+vg:movable+rg:movable	ROGET	1.0
/c/en/airbus+rg:airbus+vg:airbus	/r/RelatedTo	/c/en/aerobus/n	CN	1.0
/c/en/aircraft+rg:aircraft+vg:aircraft	/r/RelatedTo	/c/en/emergency_locator_transmitter/n	CN	1.0
/c/en/aircraft+rg:aircraft+vg:aircraft	/r/RelatedTo	/c/en/synchroscope/n	CN	1.0
/c/en/aircraft+rg:aircraft+vg:aircraft	/r/RelatedTo	vg:blue_stripes	VG	1.0
/c/en/aircraft_carrier+vg:aircraft_carrier	/r/RelatedTo	rg:gray+/c/en/gray+vg:gray	VG	1.0
/c/en/airplane_seats	/r/CapableOf	/c/en/recline+rg:recline	CN	1.0
/c/en/airport+rg:airport+vg:airport	/r/RelatedTo	rg:baggage+vg:baggage+/c/en/baggage	VG	1.0
/c/en/airport+rg:airport+vg:airport	/r/RelatedTo	vg:luggage_area	VG	1.0
/c/en/aisle+vg:aisle+rg:aisle	/r/RelatedTo	/c/en/refrigerator+vg:refrigerator+rg:refrigerator	CN	0.139
/c/en/aisle+vg:aisle+rg:aisle	vg:InImage	vg:I2372812	VG	1.0
/c/en/ajwains/n	/r/RelatedTo	/c/en/ajwain	CN	1.0
/c/en/akademeia	/r/RelatedTo	/c/en/academia/n	CN	1.0
/c/en/akaganéite/n	/r/RelatedTo	/c/en/chloride	CN	1.0
/c/en/akerids/n	mw:PartOfSpeech	mw:Noun	CN	1.0
/c/en/akimel_o_odham/n	mw:PartOfSpeech	mw:Noun	CN	1.0
/c/en/ala	mw:POSForm	/c/en/ala/n	CN	1.0
/c/en/alabastrine/a	mw:OMWordnetOffset	/c/en/alabastrine/a/wn+wn:alabaster.a.01+wd:Q143447	CN	1.0
/c/en/alarsite/n	mw:PartOfSpeech	mw:Noun	CN	1.0
/c/en/albertville/n	/r/RelatedTo	/c/en/département	CN	1.0
/c/en/albigensian/n	/r/RelatedTo	rg:albigenses+/c/en/albigenses	CN	1.0
/c/en/albinuria	/r/Synonym	/c/en/albiduria/n	CN	1.0
/c/en/album_oriented_radio/n	/r/RelatedTo	/c/en/radio_format	CN	1.0
/c/en/alcmene/n	mw:IsPOSFormOf	/c/en/alcmene	CN	1.0
/c/en/alderman	mw:POSForm	/c/en/alderman/n	CN	1.0
/c/en/aldosterone/n	/r/RelatedTo	rg:potassium+/c/en/potassium	CN	1.0
/c/en/alexia	/r/RelatedTo	/c/en/alexius/n	CN	1.0
/c/en/alga+rg:alga	/r/RelatedTo	/c/en/photosynthesis/n	CN	1.0
/c/en/algorithm+rg:algorithm	/r/RelatedTo	/c/en/marching_cubes/n	CN	1.0
/c/en/alienates/v	/r/RelatedTo	rg:alienate+/c/en/alienate	CN	1.0
/c/en/alkalinizes/v	/r/RelatedTo	/c/en/alkalinize+rg:alkalinize	CN	1.0
/c/en/alkaloidal	/r/RelatedTo	/c/en/alkaloid/n	CN	1.0
/c/en/all_hallows_day/n	/r/RelatedTo	/c/en/feast_day	CN	1.0
/c/en/all_matter	/r/HasA	/c/en/mass+rg:mass+vg:mass+at:mass	CN	1.0
/c/en/all_rounder/n	/r/RelatedTo	vg:reference+rg:reference+/c/en/reference	CN	1.0
/c/en/all_things_to_all_people/n	mw:IsPOSFormOf	/c/en/all_things_to_all_people	CN	1.0
/c/en/allegro_ma_non_troppo/n	/r/RelatedTo	/c/en/tempo_mark	CN	1.0
/c/en/allergic+at:allergic+rg:allergic	/r/Synonym	/c/en/subject+rg:subject+vg:subject+at:subject	ROGET	1.0
/c/en/allheal	/r/RelatedTo	/c/en/panacea/n	CN	1.0
/c/en/allis/n	mw:IsPOSFormOf	/c/en/allis+rg:allis	CN	1.0
/c/en/allium_tuberosum/n/wn/plant	/r/Synonym	/c/en/garlic_chive/n/wn/plant+wn:garlic_chive.n.01+wd:Q42285	CN	2.0
/c/en/allods/n	/r/FormOf	/c/en/allod	CN	1.0
/c/en/alloreactivity/n	mw:IsPOSFormOf	/c/en/alloreactivity	CN	1.0
/c/en/allostericity/n	/r/RelatedTo	/c/en/allosteric	CN	1.0
/c/en/alluded	/r/RelatedTo	/c/en/cock_tease/n	CN	1.0
/c/en/almonership	mw:POSForm	/c/en/almonership/n	CN	1.0
/c/en/alongside+rg:alongside+vg:alongside	vg:InImage	vg:I2361262	VG	1.0
/c/en/alphabet_element	/r/RelatedTo	/c/en/letter+vg:letter+at:letter+rg:letter	CN	0.17300000000000001
/c/en/alternating_current	/r/RelatedTo	/c/en/impedance/n	CN	1.0
/c/en/alternative_country/n	/r/IsA	/c/en/country_music/n/opencyc/musical_composition_country	CN	1.0
/c/en/alternative_vote	/r/RelatedTo	/c/en/voting_system/n	CN	1.0
/c/en/aluminium+rg:aluminium+vg:aluminium	/r/RelatedTo	/c/en/godovikovite/n	CN	1.0
/c/en/aluminium_foil/n	/r/HasContext	/c/en/au+rg:au	CN	1.0
/c/en/alveolarization	/r/DerivedFrom	rg:alveolar+/c/en/alveolar	CN	1.0
/c/en/ambisexually/r	/r/RelatedTo	/c/en/ambisexual	CN	1.0
/c/en/ambles/n	/r/FormOf	rg:amble+/c/en/amble	CN	1.0
/c/en/amblygonite	/r/Synonym	/c/en/amblygonite	CN	0.5
/c/en/ambulatory/n	mw:IsPOSFormOf	/c/en/ambulatory+at:ambulatory+vg:ambulatory+rg:ambulatory	CN	1.0
/c/en/amenders/n	mw:PartOfSpeech	mw:Noun	CN	1.0
/c/en/amends/v	mw:PartOfSpeech	mw:Verb	CN	1.0
/c/en/american_indian	/r/RelatedTo	/c/en/tomahawk/n	CN	1.0
/c/en/american_redstart	/r/Synonym	/c/en/american_redstart	CN	0.5
/c/en/american_sign_language/n/wn/communication	/r/Synonym	wd:Q14759+/c/en/asl/n/wn/communication+wn:asl.n.01	CN	2.0
/c/en/ameses/v	/r/RelatedTo	/c/en/amese	CN	1.0
/c/en/amfecloral/n	mw:IsPOSFormOf	/c/en/amfecloral	CN	1.0
/c/en/amidmost/a	mw:PartOfSpeech	mw:Adjective	CN	1.0
/c/en/amino_acids	mw:POSForm	/c/en/amino_acids/n	CN	1.0
/c/en/aminothiol/n	mw:PartOfSpeech	mw:Noun	CN	1.0
/c/en/amnestically/r	mw:IsPOSFormOf	/c/en/amnestically	CN	1.0
/c/en/amnesty/n/wn/state+wn:amnesty.n.01+wd:Q185943	rdfs:subClassOf	wd:Q3237993	WDT	1.0
/c/en/amnioserosa/n	mw:IsPOSFormOf	/c/en/amnioserosa	CN	1.0
/c/en/amoebid	mw:POSForm	/c/en/amoebid/n	CN	1.0
/c/en/amoebida/n/wn/animal+wn:amoebida.n.01	rdfs:subClassOf	/c/en/animal_order/n/wn/animal+wn:animal_order.n.01	WN	1.0
/c/en/amount_charged	/r/RelatedTo	at:bill+vg:bill+/c/en/bill+rg:bill+fn:lu:commerce_collect:bill	CN	0.107
/c/en/ampere+rg:ampere	/r/RelatedTo	/c/en/tera_amp/n	CN	2.0
/c/en/ampery	mw:POSForm	/c/en/ampery/a	CN	1.0
/c/en/amphenidone/n	/r/RelatedTo	rg:hypnotic+at:hypnotic+vg:hypnotic+/c/en/hypnotic	CN	1.0
/c/en/amphibole	/r/RelatedTo	/c/en/actinolite/n	CN	1.0
/c/en/amphiboly/n	/r/HasContext	rg:grammar+/c/en/grammar	CN	1.0
/c/en/amphicarpaea_bracteata/n/wn/plant	/r/Synonym	wn:hog_peanut.n.01+/c/en/hog_peanut/n/wn/plant+wd:Q4748227	CN	2.0
/c/en/amusing/a/wn	/r/Synonym	wn:amusing.s.01+/c/en/diverting/a/wn+wd:Q3030775	CN	2.0
/c/en/amyl	/r/RelatedTo	/c/en/banana_solution/n	CN	1.0
/c/en/anadiplosis/n	/r/RelatedTo	rg:expression+vg:expression+/c/en/expression	CN	1.0
/c/en/anal/n	/r/RelatedTo	/c/en/manipur	CN	1.0
/c/en/analgesic+rg:analgesic	/r/RelatedTo	/c/en/fenclozic_acid/n	CN	1.0
/c/en/analog_computer/n	mw:OMWordnetOffset	/c/en/analog_computer/n/wn/artifact+wn:analog_computer.n.01+wd:Q63759	CN	1.0
/c/en/anapestic/n	/r/RelatedTo	at:foot+vg:foot+rg:foot+/c/en/foot	CN	1.0
/c/en/anarcho_collectivist/a	mw:IsPOSFormOf	/c/en/anarcho_collectivist	CN	1.0
/c/en/anasyrma	mw:POSForm	/c/en/anasyrma/n	CN	1.0
/c/en/anathematism	mw:POSForm	/c/en/anathematism/n	CN	1.0
/c/en/ancient_greece	/r/RelatedTo	/c/en/tetartemorion/n	CN	1.0
/c/en/ancient_greek	/r/RelatedTo	/c/en/homerian/a	CN	1.0
/c/en/and/n/wikt/en_1	/r/RelatedTo	/c/en/rhythm+rg:rhythm	CN	1.0
/c/en/and_craft	/r/RelatedTo	/c/en/art+at:art+rg:art+vg:art	CN	0.19899999999999998
/c/en/and_seek	/r/RelatedTo	at:hide+/c/en/hide+vg:hide+rg:hide	CN	3.6430000000000002
/c/en/andisol	/r/RelatedTo	/c/en/vitrand/n	CN	1.0
/c/en/andromeda	/r/IsA	rg:galaxy+vg:galaxy+/c/en/galaxy	CN	2.0
/c/en/andropause/n	/r/RelatedTo	rg:libido+/c/en/libido	CN	1.0
/c/en/angelist	/r/DerivedFrom	/c/en/angelism/n	CN	1.0
/c/en/angelize	mw:POSForm	/c/en/angelize/v	CN	1.0
/c/en/angle_brace	/r/RelatedTo	/c/en/angle_tie/n	CN	1.0
/c/en/anhydrobiosis/n	/r/RelatedTo	/c/en/cryptobiosis	CN	1.0
/c/en/anicteric+rg:anicteric	/r/Antonym	rg:pro-inflammatory	ROGET	1.0
/c/en/animalism/n	/r/RelatedTo	rg:human+vg:human+/c/en/human+at:human	CN	1.0
/c/en/anise_cookie/n/wn/food+wn:anise_cookie.n.01	rdfs:subClassOf	wn:cookie.n.01+/c/en/cookie/n/wn/food	WN	1.0
/c/en/anisognathous	/r/DerivedFrom	/c/en/isognathous/a	CN	1.0
/c/en/ankle+vg:ankle+rg:ankle	/r/Synonym	rg:bone+at:bone+vg:bone+/c/en/bone	ROGET	1.0
/c/en/ankle_joint/n	/r/IsA	/c/en/ginglymus/n	CN	1.0
/c/en/anna/n	mw:OMWordnetOffset	wn:anna.n.01+/c/en/anna/n/wn/quantity	CN	1.0
/c/en/annelation	mw:POSForm	/c/en/annelation/n	CN	1.0
/c/en/anomies/n	mw:PartOfSpeech	mw:Noun	CN	1.0
/c/en/anorexia_nervosa	/r/RelatedTo	/c/en/eating_disorder	CN	1.0
/c/en/anorgasmic	/r/DerivedFrom	/c/en/orgasmic+at:orgasmic	CN	1.0
/c/en/anseres/n/wn/animal+wn:anseres.n.01+wd:Q14441345	/r/IsA	/c/en/animal_order/n/wn/animal+wn:animal_order.n.01	CN	2.0
/c/en/antagonistic/a	mw:OMWordnetOffset	/c/en/antagonistic/a/wn+wd:Q760037+wn:antagonistic.s.01+wn:antagonistic.a.03+wd:Q245204+wn:antagonistic.s.05	CN	1.0
/c/en/antependium/n	/r/RelatedTo	/c/en/altar_cloth	CN	1.0
/c/en/anterolophid	/r/RelatedTo	/c/en/anteroflexid/n	CN	1.0
/c/en/anthotypes/n	/r/FormOf	/c/en/anthotype	CN	1.0
/c/en/anthozoic/a	/r/HasContext	rg:zoology+/c/en/zoology	CN	1.0
/c/en/anthracene/n	/r/RelatedTo	/c/en/tricyclic	CN	1.0
/c/en/anthropization/n	/r/RelatedTo	/c/en/adaptation+rg:adaptation	CN	1.0
/c/en/anti_aircraft/n	/r/Synonym	/c/en/aaa+vg:aaa	CN	1.0
/c/en/anti_aircraft_defences	mw:POSForm	/c/en/anti_aircraft_defences/n	CN	1.0
/c/en/antiageing/a	/r/FormOf	/c/en/antiaging	CN	1.0
/c/en/antibiotics	/r/RelatedTo	/c/en/antibiotically/r	CN	1.0
/c/en/antichain/n	/r/HasContext	/c/en/order_theory	CN	1.0
/c/en/anticipate/v/wn/social+wn:anticipate.v.02	/r/Synonym	/c/en/foresee/v/wn/social	CN	2.0
/c/en/anticrisis/a	mw:PartOfSpeech	mw:Adjective	CN	1.0
/c/en/antidysrhythmic/n	/r/RelatedTo	/c/en/dysrhythmia	CN	1.0
/c/en/antifoaming	mw:POSForm	/c/en/antifoaming/a	CN	1.0
/c/en/antifungal+rg:antifungal	/r/RelatedTo	/c/en/neticonazole/n	CN	1.0
/c/en/antifungal+rg:antifungal	/r/RelatedTo	/c/en/zeamatin/n	CN	1.0
/c/en/antigaming	/r/DerivedFrom	rg:gaming+/c/en/gaming+vg:gaming	CN	1.0
/c/en/antiglobalisation/n	mw:IsPOSFormOf	/c/en/antiglobalisation	CN	1.0
/c/en/antileptonic	/r/DerivedFrom	/c/en/leptonic	CN	1.0
/c/en/antilipidaemic	/r/DerivedFrom	/c/en/lipidaemic	CN	1.0
/c/en/antimony+rg:antimony	/r/RelatedTo	/c/en/antimoniuretted/a	CN	1.0
/c/en/antimony+rg:antimony	/r/RelatedTo	/c/en/bahianite/n	CN	1.0
/c/en/antimony+rg:antimony	/r/RelatedTo	/c/en/thorikosite/n	CN	1.0
/c/en/antineoplastic+rg:antineoplastic	/r/Synonym	/c/en/anticancer+rg:anticancer	ROGET	1.0
/c/en/antiphospholipid	/r/DerivedFrom	/c/en/phospholipid	CN	1.0
/c/en/antipope	/r/RelatedTo	/c/en/schism+rg:schism	CN	1.0
/c/en/antiprejudice/a	/r/RelatedTo	/c/en/prejudice+rg:prejudice+at:prejudice	CN	1.0
/c/en/antispasticity/a	/r/RelatedTo	/c/en/spasm+rg:spasm	CN	1.0
